Aiguille de l'A Neuve,3753,VS/F,568'830 /  89'080
Aabenhoren,2149,BE,632'065 / 152'940
Aachchübel,2495,GR,777'085 / 189'590
Abendberg,1852,BE,606'600 / 163'425
Abgschütz,2263,OW,660'740 / 181'305
Pointes d'Aboillon,2969,VS,561'140 / 108'065
Pierre qu'Abotse,2735,VD,578'025 / 123'185
Abschwunghorn,3134,BE,655'710 / 157'430
Chli Achslenstock,2020,SZ,698'890 / 200'090
Gross Achslenstock,2175,SZ,699'210 / 199'965
Grand Acle,3052,VS,594'035 /  94'910
Piz Acletta,2912,GR/UR,704'015 / 176'485
Piz da l'Acqua,3118,GR/I,806'705 / 165'720
Piz da l'Acqua,3126,GR/I,806'820 / 165'770
Adlerflüe,2913,VS,620'075 / 110'635
Adlerhorn,3988,VS,634'885 /  95'390
Adlerspitza,3243,VS,627'295 / 135'435
Adlisberg,701,ZH,687'285 / 247'240
Aelgäuhorn,2047,BE,640'790 / 179'815
Aermighorn,2742,BE,621'085 / 154'515
Ätschberg,906,SG,741'575 / 255'470
Ättenberg,1604,FR,591'465 / 170'860
Aeugsterberg,829,ZH,679'350 / 236'425
Aff,2036,BE,634'025 / 181'885
Agassizhorn,3953,BE/VS,651'830 / 155'260
Becca d'Aget,2982,VS,590'245 / 102'255
Grand Aget,3133,VS,584'345 /  94'725
Aggenstein,1987,A,834'900 / 269'750
Piz d'Agnel,3205,GR,773'710 / 153'625
Piz di Agnon,2208,GR,737'220 / 122'835
Aguagliouls,2770,GR,786'040 / 141'010
Piz Aguagliouls,3118,GR,786'370 / 140'240
Crast'Agüzza,3854,GR/I,790'675 / 138'450
Tour d'Aï,2331,VD,566'400 / 135'730
Grande Aiguille,3682,VS,586'525 /  88'770
L'Aiguille,2412,VD,577'560 / 137'210
L'Aiguille,2440,VS,575'480 / 113'775
Petite Aiguille,3517,VS,587'220 /  87'915
L'Aiguillette,3199,VS,601'190 /  87'815
Cima d'Aion,2533,GR,732'690 / 133'255
Ganne d'Airòld,2055,TI,720'540 / 136'110
Mot Ajüz,2295,GR,822'030 / 185'740
Piz Ajüz,2755,GR,829'620 / 191'620
Piz Ajüz,2788,GR,822'845 / 185'000
Piz Albana Pitschen,2909,GR,779'975 / 150'750
Piz Albana,3100,GR,779'280 / 150'430
Monte Albano,2027,TI/I,731'070 / 112'755
Pizzo Albèr,2219,TI,696'400 / 130'220
Punta da l'Albigna,2824,GR,771'145 / 132'310
Albis,915,ZH,683'175 / 234'650
Albishorn,909,ZH,683'725 / 233'925
Crasta d'Albris,3032,GR,794'375 / 148'535
Piz Albris,3166,GR,793'925 / 148'965
Albristhorn,2763,BE,603'890 / 149'535
Albristhubel,2124,BE,601'595 / 151'190
Albrunhorn,2885,VS/I,665'015 / 135'050
Aletschhorn,4195,VS,642'640 / 146'130
Kleines Aletschhorn,3755,VS,641'345 / 146'380
Hinter Allalin,3332,VS,637'295 / 101'415
Kleines Allalin,3070,VS,638'595 / 101'020
Mittel Allalin,3460,VS,636'315 / 101'100
Allalinhorn,4027,VS,635'300 /  99'490
Pointe d'Allèves,3046,VS,595'310 / 103'625
Allmegrat,2530,BE,615'045 / 149'985
Pointe Allobrogia,3172,VS/I,570'965 /  84'270
Almagellhorn,3327,VS,642'980 / 104'085
Poncione d'Alnasca,2301,TI,706'725 / 127'690
Piz d'Alp Val,3053,GR,776'675 / 158'780
Spi da l'Alp Vedra,2588,GR,825'660 / 200'230
Motta d'Alp,2109,GR,829'035 / 198'355
Alpbüel,2022,GR,777'085 / 202'305
